Time 1, User A, Process 2, has started
Time 5, User A, Process 2, has paused
Time 5, User A, Process 1, has started
Time 6, User A, Process 1, has paused
Time 6, User A, Process 2, has resumed
Time 7, User A, Process 2, has ended
Time 7, User B, Process 3, has started
Time 9, User B, Process 3, has paused
Time 9, User A, Process 1, has resumed
Time 11, User A, Process 1, has ended
Time 11, User B, Process 3, has resumed
Time 13, User B, Process 3, has paused
Time 13, User B, Process 3, has resumed
Time 15, User B, Process 3, has ended
Time 15, User B, Process 3, has started
Time 19, User B, Process 3, has paused
Time 19, User B, Process 3, has resumed
Time 23, User B, Process 3, has paused
Time 23, User B, Process 3, has resumed
Time 25, User B, Process 3, has ended
