Time 1, User A, Process 1, has started
Time 5, User A, Process 1, has paused
Time 5, User A, Process 0, has started
Time 6, User A, Process 0, has paused
Time 6, User A, Process 1, has resumed
Time 7, User A, Process 1, has ended
Time 7, User B, Process 0, has started
Time 9, User B, Process 0, has paused
Time 9, User A, Process 0, has resumed
Time 11, User A, Process 0, has ended
Time 11, User B, Process 0, has resumed
Time 13, User B, Process 0, has paused
Time 13, User B, Process 0, has resumed
Time 15, User B, Process 0, has ended
